Tp,Dt,CcyAmt/0/Ccy,CcyAmt/0/Amt,CcyAmt/1/Ccy,CcyAmt/1/Amt
LT,2024-08-19,EUR,1,AED,3.976020
LT,2024-08-19,EUR,1,AFN,76.722190
LT,2024-08-19,EUR,1,ALL,100.266560
LT,2024-08-19,EUR,1,AMD,420.01
LT,2024-08-19,EUR,1,ARS,1008.619380
LT,2024-08-19,EUR,1,AUD,1.6577
LT,2024-08-19,EUR,1,AZN,1.840250
LT,2024-08-19,EUR,1,BAM,1.960840
LT,2024-08-19,EUR,1,BDT,127.193750
LT,2024-08-19,EUR,1,BGN,1.9558
LT,2024-08-19,EUR,1,BHD,0.408050
LT,2024-08-19,EUR,1,BYN,3.542590
LT,2024-08-19,EUR,1,BOB,7.474660
LT,2024-08-19,EUR,1,BRL,6.0112
LT,2024-08-19,EUR,1,CAD,1.5095
LT,2024-08-19,EUR,1,CHF,0.9540
LT,2024-08-19,EUR,1,CLP,1031.893130
LT,2024-08-19,EUR,1,CNY,7.8758
LT,2024-08-19,EUR,1,COP,4400.221780
LT,2024-08-19,EUR,1,CZK,25.2390
LT,2024-08-19,EUR,1,DJF,192.766190
LT,2024-08-19,EUR,1,DKK,7.4616
LT,2024-08-19,EUR,1,DZD,145.858590
LT,2024-08-19,EUR,1,EGP,52.414650
LT,2024-08-19,EUR,1,ETB,81.369790
LT,2024-08-19,EUR,1,GBP,0.851280
LT,2024-08-19,EUR,1,GEL,2.948730
LT,2024-08-19,EUR,1,GHS,16.822050
LT,2024-08-19,EUR,1,GNF,9329.526250
LT,2024-08-19,EUR,1,HKD,8.5705
LT,2024-08-19,EUR,1,HUF,395.73
LT,2024-08-19,EUR,1,IDR,17259.48
LT,2024-08-19,EUR,1,YER,270.819850
LT,2024-08-19,EUR,1,ILS,4.0359
LT,2024-08-19,EUR,1,INR,92.2775
LT,2024-08-19,EUR,1,IQD,1418.0750
LT,2024-08-19,EUR,1,IRR,45467.706250
LT,2024-08-19,EUR,1,ISK,152.90
LT,2024-08-19,EUR,1,JOD,0.767010
LT,2024-08-19,EUR,1,JPY,162.72
LT,2024-08-19,EUR,1,KES,140.7250
LT,2024-08-19,EUR,1,KGS,90.991860
LT,2024-08-19,EUR,1,KRW,1490.58
LT,2024-08-19,EUR,1,KWD,0.331040
LT,2024-08-19,EUR,1,KZT,513.077940
LT,2024-08-19,EUR,1,LBP,96937.8750
LT,2024-08-19,EUR,1,LYD,5.230480
LT,2024-08-19,EUR,1,LKR,327.510380
LT,2024-08-19,EUR,1,MAD,10.723250
LT,2024-08-19,EUR,1,MDL,19.1884
LT,2024-08-19,EUR,1,MGA,4902.025480
LT,2024-08-19,EUR,1,MYR,4.8720
LT,2024-08-19,EUR,1,MKD,61.621310
LT,2024-08-19,EUR,1,MNT,3681.041250
LT,2024-08-19,EUR,1,MUR,50.493210
LT,2024-08-19,EUR,1,MXN,20.5459
LT,2024-08-19,EUR,1,MZN,69.155510
LT,2024-08-19,EUR,1,NGN,1753.65
LT,2024-08-19,EUR,1,NOK,11.8185
LT,2024-08-19,EUR,1,NZD,1.8240
LT,2024-08-19,EUR,1,PAB,1.0825
LT,2024-08-19,EUR,1,PEN,4.051040
LT,2024-08-19,EUR,1,PHP,62.8430
LT,2024-08-19,EUR,1,PKR,301.681930
LT,2024-08-19,EUR,1,PLN,4.2703
LT,2024-08-19,EUR,1,QAR,3.947440
LT,2024-08-19,EUR,1,RON,4.9758
LT,2024-08-19,EUR,1,RSD,117.056140
LT,2024-08-19,EUR,1,SAR,4.061110
LT,2024-08-19,EUR,1,SEK,11.5435
LT,2024-08-19,EUR,1,SGD,1.4497
LT,2024-08-19,EUR,1,SYP,14074.123750
LT,2024-08-19,EUR,1,THB,38.4080
LT,2024-08-19,EUR,1,TJS,11.452850
LT,2024-08-19,EUR,1,TMT,3.788530
LT,2024-08-19,EUR,1,TND,3.361160
LT,2024-08-19,EUR,1,TRY,37.0448
LT,2024-08-19,EUR,1,TWD,35.576360
LT,2024-08-19,EUR,1,TZS,2922.75
LT,2024-08-19,EUR,1,UAH,44.361070
LT,2024-08-19,EUR,1,UYU,43.597690
LT,2024-08-19,EUR,1,USD,1.0994
LT,2024-08-19,EUR,1,UZS,13595.442250
LT,2024-08-19,EUR,1,VES,39.579710
LT,2024-08-19,EUR,1,VND,27371.0125
LT,2024-08-19,EUR,1,XAF,665.244960
LT,2024-08-19,EUR,1,XOF,655.892160
LT,2024-08-19,EUR,1,ZAR,19.6993
